Country,Year_New,Item,Value,Population
United Republic of Tanzania,2004,Rice,706,37379766
United Republic of Tanzania,2005,Rice,779,38450323
United Republic of Tanzania,2006,Rice,805,39548666
United Republic of Tanzania,2007,Rice,895,40681416
United Republic of Tanzania,2008,Rice,948,41853944
United Republic of Tanzania,2009,Rice,890,43073830
United Republic of Tanzania,2010,Rice,1768,44346532
United Republic of Tanzania,2011,Rice,1500,45673520
United Republic of Tanzania,2012,Rice,1201,47053033
United Republic of Tanzania,2013,Rice,1464,48483132
Zambia,2004,Rice,11,11550641
Zambia,2005,Rice,9,11856244
Zambia,2006,Rice,9,12173518
Zambia,2007,Rice,12,12502958
Zambia,2008,Rice,16,12848531
Zambia,2009,Rice,28,13215142
Zambia,2010,Rice,34,13605986
Zambia,2011,Rice,33,14023199
Zambia,2012,Rice,30,14465148
Zambia,2013,Rice,30,14926551
Zimbabwe,2004,Rice,0,12019911
Zimbabwe,2005,Rice,1,12076697
Zimbabwe,2006,Rice,0,12155496
Zimbabwe,2007,Rice,0,12255920
Zimbabwe,2008,Rice,0,12379553
Zimbabwe,2009,Rice,0,12526964
Zimbabwe,2010,Rice,0,12697728
Zimbabwe,2011,Rice,0,12894323
Zimbabwe,2012,Rice,0,13115149
Zimbabwe,2013,Rice,0,13350378
