Country,Year_New,Value
Namibia,2006,1448
Namibia,2007,1331
Namibia,2008,1335
Namibia,2009,1359
Namibia,2010,1422
Namibia,2011,1457
Namibia,2012,1522
Namibia,2013,1468
Niger,2004,5852
Niger,2005,7170
Niger,2006,7855
Niger,2007,8152
Niger,2008,9820
Niger,2009,7715
Niger,2010,10576
Niger,2011,8923
Niger,2012,10719
Niger,2013,10026
Nigeria,2004,149857
Nigeria,2005,158149
Nigeria,2006,168987
Nigeria,2007,157273
Nigeria,2008,167935
Nigeria,2009,141270
Nigeria,2010,158709
Nigeria,2011,167403
Nigeria,2012,178816
Nigeria,2013,179631
Rwanda,2004,6863
Rwanda,2005,7370
Rwanda,2006,7405
Rwanda,2007,7295
Rwanda,2008,8371
Rwanda,2009,9838
Rwanda,2010,10780
Rwanda,2011,11777
Rwanda,2012,12523
Rwanda,2013,12952
Sao Tome and Principe,2004,113
Sao Tome and Principe,2005,117
Sao Tome and Principe,2006,117
Sao Tome and Principe,2007,113
Sao Tome and Principe,2008,114
Sao Tome and Principe,2009,116
Sao Tome and Principe,2010,114
Sao Tome and Principe,2011,107
Sao Tome and Principe,2012,111
Sao Tome and Principe,2013,130
Senegal,2004,4368
Senegal,2005,4757
Senegal,2006,4030
Senegal,2007,4024
Senegal,2008,5987
Senegal,2009,5689
Senegal,2010,5737
Senegal,2011,4613
Senegal,2012,5237
Senegal,2013,4972
Sierra Leone,2004,3592
Sierra Leone,2005,3040
Sierra Leone,2006,3657
Sierra Leone,2007,3731
Sierra Leone,2008,3991
Sierra Leone,2009,5084
Sierra Leone,2010,5783
Sierra Leone,2011,6083
Sierra Leone,2012,6228
Sierra Leone,2013,6548
South Africa,2004,54949
South Africa,2005,59577
South Africa,2006,54024
South Africa,2007,53795
South Africa,2008,61162
South Africa,2009,59590
South Africa,2010,56863
South Africa,2011,56788
South Africa,2012,59581
South Africa,2013,63263
Sudan,2004,28646
Sudan,2005,31369
Sudan,2006,30834
Sudan,2007,31689
Sudan,2008,30731
Sudan,2009,31778
Sudan,2010,28568
Sudan,2011,30869
Sudan,2012,26373
Sudan,2013,30727
Swaziland,2004,5950
Swaziland,2005,6407
Swaziland,2006,6124
Swaziland,2007,6096
Swaziland,2008,6149
Swaziland,2009,6128
Swaziland,2010,6157
Swaziland,2011,6221
Swaziland,2012,6670
Swaziland,2013,6763
Togo,2004,2765
Togo,2005,2730
Togo,2006,2908
Togo,2007,2938
Togo,2008,3085
Togo,2009,3389
Togo,2010,3424
Togo,2011,3605
Togo,2012,3848
Togo,2013,3463
Tunisia,2004,8503
Tunisia,2005,8795
Tunisia,2006,8688
Tunisia,2007,9052
Tunisia,2008,8842
Tunisia,2009,9731
Tunisia,2010,8854
Tunisia,2011,9790
Tunisia,2012,10509
Tunisia,2013,9949
Uganda,2004,31819
Uganda,2005,31645
Uganda,2006,31415
Uganda,2007,31891
Uganda,2008,23491
Uganda,2009,24574
Uganda,2010,25850
Uganda,2011,25704
Uganda,2012,25711
Uganda,2013,26321
United Republic of Tanzania,2004,27389
United Republic of Tanzania,2005,27329
United Republic of Tanzania,2006,30472
United Republic of Tanzania,2007,30673
United Republic of Tanzania,2008,30876
United Republic of Tanzania,2009,31828
United Republic of Tanzania,2010,36006
United Republic of Tanzania,2011,38424
United Republic of Tanzania,2012,38956
United Republic of Tanzania,2013,40849
Zambia,2004,6310
Zambia,2005,6075
Zambia,2006,6879
Zambia,2007,6743
Zambia,2008,6383
Zambia,2009,8695
Zambia,2010,10089
Zambia,2011,10331
Zambia,2012,10670
Zambia,2013,10526
Zimbabwe,2004,8984
Zimbabwe,2005,7239
Zimbabwe,2006,8225
Zimbabwe,2007,6822
Zimbabwe,2008,5877
Zimbabwe,2009,5754
Zimbabwe,2010,6777
Zimbabwe,2011,7551
Zimbabwe,2012,8173
Zimbabwe,2013,7914
